ecoregion species DOMpool DecayRate AmountT0 Q10
415_3 PINU.RES 8 0.0187 0.0001 2
415_3 PINU.RES 9 0.0718 0.0001 2
415_3 PINU.RES 10 0.0001 0.0001 2
415_3 PINU.STR 1 0.355 0.0001 2.65
415_3 PINU.STR 2 0.5 0.0001 2
415_3 PINU.STR 3 0.1435 0.0001 2
415_3 PINU.STR 4 0.1435 0.0001 2
415_3 PINU.STR 5 0.0374 0.0001 2
415_3 PINU.STR 6 0.015 0.0001 2.65
415_3 PINU.STR 7 0.0033 0.0001 1
415_3 PINU.STR 8 0.0187 0.0001 2
415_3 PINU.STR 9 0.0718 0.0001 2
415_3 PINU.STR 10 0.0001 0.0001 2
415_3 POPU.TRE 1 0.355 60.6574 2.65
415_3 POPU.TRE 2 0.5 28.968 2
415_3 POPU.TRE 3 0.1435 24.4607 2
415_3 POPU.TRE 4 0.1435 23.5451 2
415_3 POPU.TRE 5 0.0374 0.0001 2
415_3 POPU.TRE 6 0.015 376.891 2.65
415_3 POPU.TRE 7 0.0033 1620.52 1
415_3 POPU.TRE 8 0.0187 0.0001 2
415_3 POPU.TRE 9 0.0718 0.0001 2
415_3 POPU.TRE 10 0.0001 0.0001 2
415_3 QUER.RUB 1 0.355 0.0001 2.65
415_3 QUER.RUB 2 0.5 0.0001 2
415_3 QUER.RUB 3 0.1435 0.0001 2
415_3 QUER.RUB 4 0.1435 0.0001 2
415_3 QUER.RUB 5 0.0374 0.0001 2
415_3 QUER.RUB 6 0.015 0.0001 2.65
415_3 QUER.RUB 7 0.0033 0.0001 1
415_3 QUER.RUB 8 0.0187 0.0001 2
415_3 QUER.RUB 9 0.0718 0.0001 2
415_3 QUER.RUB 10 0.0001 0.0001 2
415_3 THUJ.SPP.ALL 1 0.355 11.4912 2.65
415_3 THUJ.SPP.ALL 2 0.5 5.052 2
415_3 THUJ.SPP.ALL 3 0.1435 5.226 2
415_3 THUJ.SPP.ALL 4 0.1435 5.1734 2
415_3 THUJ.SPP.ALL 5 0.0374 0.595 2
415_3 THUJ.SPP.ALL 6 0.015 88.0574 2.65
415_3 THUJ.SPP.ALL 7 0.0033 414.0784 1
415_3 THUJ.SPP.ALL 8 0.0187 0.1426 2
415_3 THUJ.SPP.ALL 9 0.0718 0.001 2
415_3 THUJ.SPP.ALL 10 0.0001 0.0001 2
415_3 TSUG.CAN 1 0.355 0.0001 2.65
415_3 TSUG.CAN 2 0.5 0.0001 2
415_3 TSUG.CAN 3 0.1435 0.0001 2
415_3 TSUG.CAN 4 0.1435 0.0001 2
415_3 TSUG.CAN 5 0.0374 0.0001 2
415_3 TSUG.CAN 6 0.015 0.0001 2.65
415_3 TSUG.CAN 7 0.0033 0.0001 1
415_3 TSUG.CAN 8 0.0187 0.0001 2
415_3 TSUG.CAN 9 0.0718 0.0001 2
415_3 TSUG.CAN 10 0.0001 0.0001 2
415_4 ABIE.BAL 1 0.355 9.9234 2.65
415_4 ABIE.BAL 2 0.5 4.616 2
415_4 ABIE.BAL 3 0.1435 3.6014 2
415_4 ABIE.BAL 4 0.1435 3.281 2
415_4 ABIE.BAL 5 0.0374 0.2577 2
415_4 ABIE.BAL 6 0.015 45.6757 2.65
415_4 ABIE.BAL 7 0.0033 189.3307 1
415_4 ABIE.BAL 8 0.0187 0.125 2
415_4 ABIE.BAL 9 0.0718 0.0909 2
415_4 ABIE.BAL 10 0.0001 0.0001 2
415_4 ACER.RUB 1 0.355 48.7866 2.65
415_4 ACER.RUB 2 0.5 21.2999 2
415_4 ACER.RUB 3 0.1435 47.7018 2
415_4 ACER.RUB 4 0.1435 15.9734 2
415_4 ACER.RUB 5 0.0374 20.3515 2
415_4 ACER.RUB 6 0.015 319.2281 2.65
